timestamp,x,y,theta,x_min,x_max,y_min,y_max,dist_to_wall,decision_v,decision_w
1777456027.7511446,292.06,118.83,-1.222,-2.47,423.28,-50.19,148.15,179.85,8.0,0.0
1777456027.7513638,292.06,118.83,-1.222,-2.47,423.28,-50.19,148.15,179.85,8.0,0.0
1777456027.7590888,292.06,118.83,-1.222,-2.47,423.28,-50.19,148.15,179.85,8.0,0.0
1777456027.7592382,292.06,118.83,-1.222,-2.47,423.28,-50.19,148.15,179.85,8.0,0.0
1777456028.3392136,284.88,115.71,-0.958,-2.47,423.28,-50.19,148.15,202.801,8.0,0.0
1777456028.3394132,284.88,115.71,-0.958,-2.47,423.28,-50.19,148.15,202.801,8.0,0.0
1777456028.344379,284.88,115.71,-0.958,-2.47,423.28,-50.19,148.15,202.801,8.0,0.0
1777456028.3445036,284.88,115.71,-0.958,-2.47,423.28,-50.19,148.15,202.801,8.0,0.0
1777456034.7754984,318.01,45.7,1.892,-2.47,440.11,-50.19,172.92,134.077,8.0,0.0
1777456034.7757084,318.01,45.7,1.892,-2.47,440.11,-50.19,172.92,134.077,8.0,0.0
1777456034.7814312,318.01,45.7,1.892,-2.47,440.11,-50.19,172.92,134.077,8.0,0.0
1777456034.7816164,318.01,45.7,1.892,-2.47,440.11,-50.19,172.92,134.077,8.0,0.0
1777456041.8031445,290.39,105.49,-0.729,-2.47,440.11,-50.19,172.92,200.74,8.0,0.0
1777456041.8033648,290.39,105.49,-0.729,-2.47,440.11,-50.19,172.92,200.74,8.0,0.0
1777456041.8090088,290.39,105.49,-0.729,-2.47,440.11,-50.19,172.92,200.74,8.0,0.0
1777456041.8091393,290.39,105.49,-0.729,-2.47,440.11,-50.19,172.92,200.74,8.0,0.0
1777456048.2420876,329.37,50.34,1.933,-2.47,423.28,-50.19,148.15,104.596,8.0,0.0
1777456048.2422972,329.37,50.34,1.933,-2.47,423.28,-50.19,148.15,104.596,8.0,0.0
1777456048.2474566,329.37,50.34,1.933,-2.47,423.28,-50.19,148.15,104.596,8.0,0.0
1777456048.2476218,329.37,50.34,1.933,-2.47,423.28,-50.19,148.15,104.596,8.0,0.0
1777456050.5805702,345.32,78.73,2.939,-2.47,423.28,-50.19,148.15,345.013,8.0,0.0
1777456050.5808103,345.32,78.73,2.939,-2.47,423.28,-50.19,148.15,345.013,8.0,0.0
1777456050.5866125,345.32,78.73,2.939,-2.47,423.28,-50.19,148.15,345.013,8.0,0.0
1777456050.5867987,345.32,78.73,2.939,-2.47,423.28,-50.19,148.15,345.013,8.0,0.0
1777456054.6796336,294.98,98.15,-0.86,-2.47,423.28,-50.19,148.15,195.74,8.0,0.0
1777456054.679849,294.98,98.15,-0.86,-2.47,423.28,-50.19,148.15,195.74,8.0,0.0
1777456054.6847875,294.98,98.15,-0.86,-2.47,423.28,-50.19,148.15,195.74,8.0,0.0
1777456054.6849785,294.98,98.15,-0.86,-2.47,423.28,-50.19,148.15,195.74,8.0,0.0
1777456058.188285,306.76,53.29,1.143,-2.47,423.28,-50.19,148.15,104.255,8.0,0.0
1777456058.1885066,306.76,53.29,1.143,-2.47,423.28,-50.19,148.15,104.255,8.0,0.0
1777456058.1942012,306.76,53.29,1.143,-2.47,423.28,-50.19,148.15,104.255,8.0,0.0
1777456058.1943858,306.76,53.29,1.143,-2.47,423.28,-50.19,148.15,104.255,8.0,0.0
1777456059.3628173,324.85,53.47,1.914,-2.47,440.11,-50.19,172.92,126.848,8.0,0.0
1777456059.3630354,324.85,53.47,1.914,-2.47,440.11,-50.19,172.92,126.848,8.0,0.0
1777456059.3699977,324.85,53.47,1.914,-2.47,440.11,-50.19,172.92,126.848,8.0,0.0
1777456059.3701577,324.85,53.47,1.914,-2.47,440.11,-50.19,172.92,126.848,8.0,0.0
1777456068.144048,285.53,126.09,-1.238,-2.47,423.28,-50.19,148.15,186.514,8.0,0.0
1777456068.1441977,285.53,126.09,-1.238,-2.47,423.28,-50.19,148.15,186.514,8.0,0.0
1777456068.1495655,285.53,126.09,-1.238,-2.47,423.28,-50.19,148.15,186.514,8.0,0.0
