timestamp,x,y,yaw
1715380473.7909684,0.812385,1.361011,0.120313
1715380473.7923281,0.810392,1.359414,0.135456
1715380473.7938068,0.810392,1.359414,0.135456
1715380473.8260574,0.810713,1.359603,0.147531
1715380473.9470708,0.810713,1.359603,0.147531
1715380473.9484138,0.816557,1.366645,0.156981
1715380473.949772,0.816557,1.366645,0.156981
1715380473.9509754,0.806324,1.355176,0.164090
1715380473.9521055,0.806324,1.355176,0.164090
1715380474.1190279,0.809012,1.358115,0.181117
1715380474.1226666,0.809012,1.358115,0.181117
1715380474.1248791,0.810044,1.359090,0.183499
1715380474.1270895,0.810044,1.359090,0.183499
1715380474.129262,0.812733,1.362031,0.185334
1715380474.1307018,0.812733,1.362031,0.185334
1715380474.132033,0.809477,1.358727,0.187268
1715380474.1334493,0.809477,1.358727,0.187268
1715380474.3032715,0.812733,1.362031,0.188350
1715380474.3189976,0.812733,1.362031,0.188350
1715380474.320506,0.811241,1.360427,0.102861
1715380474.3221128,0.811241,1.360427,0.102861
1715380474.323527,0.812733,1.362031,0.155934
1715380474.3249602,0.812733,1.362031,0.155934
1715380474.4669552,0.809012,1.358115,0.163184
1715380474.4682338,0.809012,1.358115,0.163184
1715380474.4695377,0.812733,1.362031,0.169083
1715380474.470745,0.812733,1.362031,0.169083
1715380474.4719846,0.811241,1.360427,0.087447
1715380474.4734597,0.811241,1.360427,0.087447
1715380474.4766934,0.812733,1.362031,0.108493
1715380474.4813945,0.812733,1.362031,0.108493
1715380474.6344447,0.812733,1.362031,0.125330
1715380474.63848,0.812733,1.362031,0.125330
1715380474.639775,0.812733,1.362031,0.164818
1715380474.6410093,0.812733,1.362031,0.164818
1715380474.642311,0.807162,1.355873,0.170560
1715380580.0261135,0.846188,1.515700,-1.016954
1715380580.0278642,0.846188,1.515700,-1.016954
1715380580.10785,0.829424,1.498018,-1.016233
1715380580.1087897,0.829424,1.498018,-1.016233
1715380580.1435475,0.832976,1.501885,-1.016598
1715380580.1443837,0.832976,1.501885,-1.016598
1715380580.1816297,0.829066,1.497609,-1.016388
1715380580.1824074,0.829066,1.497609,-1.016388
1715380580.2256813,0.829066,1.497609,-1.016219
1715380580.2264054,0.829066,1.497609,-1.016219
1715380580.2757192,0.829011,1.497523,-1.016045
1715380580.2763977,0.829011,1.497523,-1.016045
1715380580.3256276,0.826253,1.494508,-1.016714
1715380580.32631,0.826253,1.494508,-1.016714
1715380580.4077384,0.832976,1.501885,-1.016441
1715380580.4084284,0.832976,1.501885,-1.016441
1715380580.4435794,0.829145,1.497747,-1.016335
1715380580.4442475,0.829145,1.497747,-1.016335
1715380580.47601,0.841301,1.510665,-1.017649
1715380580.4766815,0.841301,1.510665,-1.017649
1715380580.525524,0.829424,1.498018,-1.017320
1715380580.5262384,0.829424,1.498018,-1.017320
1715380580.5759728,0.829066,1.497609,-1.016965
1715380580.576653,0.829066,1.497609,-1.016965
1715380580.6256087,0.841301,1.510665,-1.018153
1715380580.6262777,0.841301,1.510665,-1.018153
1715380580.707801,0.830032,1.499124,-1.019814
1715380580.7084813,0.830032,1.499124,-1.019814
1715380580.7438002,0.825785,1.494178,-1.020497
1715380580.744467,0.825785,1.494178,-1.020497
1715380580.7767246,0.843237,1.511832,-1.021110
1715380580.7774942,0.843237,1.511832,-1.021110
1715380580.8256578,0.824228,1.492465,-1.021102
1715380580.8263395,0.824228,1.492465,-1.021102
